day,dunzo_sentiment,swiggy_sentiment
01-02-2024,-0.36630625000000006,0.00447560975609756
02-01-2024,0.5423,0.2300144736842105
02-03-2024,-0.05135,0.44079240506329126
03-02-2024,0.0,-0.12724615384615384
04-01-2024,,0.22003214285714282
04-03-2024,0.5605269230769232,-0.33164285714285713
05-02-2024,0.2065875,0.5431695652173915
05-12-2023,-0.2154738095238096,0.04711153846153848
06-01-2024,0.4347919999999999,0.42181250000000003
06-03-2024,0.0012310344827586345,0.42181250000000003
07-02-2024,0.2349285714285714,0.4968333333333333
07-12-2023,-0.22133750000000002,0.2970526315789474
08-01-2024,-0.1009823529411765,0.2869528089887641
08-03-2024,0.22875909090909088,0.41714799999999996
09-02-2024,0.2603962962962963,0.21826315789473685
09-12-2023,0.34090833333333337,0.27016949152542374
10-01-2024,0.1704782608695652,0.44151648351648365
10-03-2024,0.16467391304347825,0.5086785714285714
11-02-2024,-0.1342891891891892,0.23829166666666665
11-12-2023,-0.20525151515151516,-0.17211428571428566
12-01-2024,0.2672782608695652,0.632591304347826
12-03-2024,0.2733470588235294,0.05158076923076923
13-02-2024,0.1336111111111111,0.29896376811594205
13-12-2023,-0.22349761904761906,0.29670405405405403
14-01-2024,0.5941105263157895,0.21171999999999996
14-03-2024,0.07223076923076922,0.04393360655737705
15-02-2024,0.19437692307692303,-0.36964
15-12-2023,-0.021251612903225806,-0.07788360655737703
16-01-2024,0.3201166666666666,0.43021081081081075
17-02-2024,0.4171857142857143,-0.1782857142857143
17-12-2023,0.12714583333333332,-0.0036452380952381193
18-01-2024,0.0,-0.23864098360655742
19-02-2024,0.20144130434782603,0.07141304347826086
19-12-2023,0.25640434782608695,-0.022040963855421678
20-01-2024,0.0,0.19827971014492757
21-02-2024,0.5167249999999999,-0.05442608695652173
21-12-2023,-0.016394871794871795,-0.06863999999999996
22-01-2024,0.0,0.044189552238805975
23-02-2024,,0.11469726027397262
23-12-2023,-0.4111533333333333,-0.27442972972972973
24-01-2024,0.0,0.07077246376811594
25-02-2024,,-0.24179156626506024
25-12-2023,-0.20185555555555557,0.3011526315789473
26-01-2024,0.25254499999999996,0.23535
27-02-2024,0.05678620689655174,0.1632941176470588
27-12-2023,-0.151537037037037,0.25912799999999997
28-01-2024,0.5826,0.2623855263157895
29-02-2024,-0.10238499999999999,-0.059436781609195403
29-12-2023,0.08053157894736843,0.08767837837837837
30-01-2024,0.04567567567567567,-0.06733999999999998
31-12-2023,0.16697083333333332,-0.048916981132075474
