day,vivo_sentiment,oppo_sentiment
01-02-2024,-0.06323636363636363,0.22478163265306123
02-01-2024,0.41291052631578945,
02-03-2024,-0.24703124999999998,
03-02-2024,0.47169999999999995,0.2957869565217391
04-01-2024,0.3858609756097561,
04-03-2024,,
05-02-2024,0.24767741935483875,0.31802830188679243
05-12-2023,0.5036807692307692,
06-01-2024,0.44612826086956525,
06-03-2024,0.49456481481481485,
07-02-2024,0.23699166666666668,0.3233431818181818
07-12-2023,0.140435,
08-01-2024,0.37554545454545457,
08-03-2024,-0.0012474999999999904,
09-02-2024,0.3387264705882353,0.46667708333333335
09-12-2023,0.036127083333333344,0.24332075471698114
10-01-2024,0.5783172413793104,
10-03-2024,0.22697066666666668,
11-02-2024,0.26826666666666665,0.42044528301886785
11-12-2023,0.5904447368421052,0.33903043478260864
12-01-2024,0.22813333333333338,
12-03-2024,0.19303706896551723,
13-02-2024,0.3316103448275862,0.27655254237288135
13-12-2023,0.25134615384615383,
14-01-2024,,0.303572972972973
14-03-2024,0.23733382352941176,
15-02-2024,0.21913111111111105,0.263058064516129
15-12-2023,0.019947500000000017,0.027317021276595736
16-01-2024,0.351203448275862,
17-02-2024,0.3252645161290323,
17-12-2023,0.1284311111111111,0.4141161290322581
18-01-2024,0.24404464285714284,
19-02-2024,0.37747499999999995,
19-12-2023,0.22273513513513515,0.1603362068965517
20-01-2024,0.24835675675675675,
21-02-2024,0.10340731707317076,
21-12-2023,0.32875,0.07562105263157894
22-01-2024,,
23-02-2024,0.43337999999999993,
23-12-2023,0.30688461538461537,0.5085062499999999
24-01-2024,,
25-02-2024,-0.12668,
25-12-2023,0.5116872340425532,0.5106260869565218
26-01-2024,,
27-02-2024,0.4353877551020408,
27-12-2023,0.10701714285714287,
28-01-2024,0.2594918918918919,
29-02-2024,0.3025393939393939,
29-12-2023,0.07152352941176471,
30-01-2024,0.1920861111111111,0.3878744680851064
31-12-2023,0.7518,
