day,zomato_sentiment,swiggy_sentiment
01-02-2024,0.1803193548387097,0.00447560975609756
02-01-2024,0.14891666666666667,0.2300144736842105
02-03-2024,0.58059375,0.44079240506329126
03-02-2024,0.03312857142857144,-0.12724615384615384
04-01-2024,0.213875,0.22003214285714282
04-03-2024,0.22991999999999999,-0.33164285714285713
05-02-2024,0.27700714285714284,0.5431695652173915
05-12-2023,0.23074800000000004,0.04711153846153848
06-01-2024,-0.2853,0.42181250000000003
06-03-2024,0.0,0.42181250000000003
07-02-2024,0.10775384615384617,0.4968333333333333
07-12-2023,0.10676060606060607,0.2970526315789474
08-01-2024,0.0,0.2869528089887641
08-03-2024,0.4700666666666667,0.41714799999999996
09-02-2024,0.11753571428571429,0.21826315789473685
09-12-2023,0.034676923076923084,0.27016949152542374
10-01-2024,0.2983875,0.44151648351648365
10-03-2024,0.004738461538461538,0.5086785714285714
11-02-2024,0.20674285714285714,0.23829166666666665
11-12-2023,0.29664999999999997,-0.17211428571428566
12-01-2024,0.5443562500000001,0.632591304347826
12-03-2024,0.22661428571428568,0.05158076923076923
13-02-2024,0.3355066666666667,0.29896376811594205
13-12-2023,0.2832909090909091,0.29670405405405403
14-01-2024,0.04870769230769229,0.21171999999999996
14-03-2024,0.04710769230769231,0.04393360655737705
15-02-2024,0.2099818181818182,-0.36964
15-12-2023,0.5109750000000001,-0.07788360655737703
16-01-2024,0.530705,0.43021081081081075
17-02-2024,0.3078166666666667,-0.1782857142857143
17-12-2023,0.06924390243902438,-0.0036452380952381193
18-01-2024,0.2039111111111111,-0.23864098360655742
19-02-2024,0.35300624999999997,0.07141304347826086
19-12-2023,0.4457916666666667,-0.022040963855421678
20-01-2024,0.33247333333333334,0.19827971014492757
21-02-2024,0.577425,-0.05442608695652173
21-12-2023,0.11747605633802817,-0.06863999999999996
22-01-2024,0.059294117647058824,0.044189552238805975
23-02-2024,0.3773833333333334,0.11469726027397262
23-12-2023,-0.017606451612903234,-0.27442972972972973
24-01-2024,0.2948916666666667,0.07077246376811594
25-02-2024,0.14997142857142862,-0.24179156626506024
25-12-2023,-0.07950344827586206,0.3011526315789473
26-01-2024,-0.017617241379310342,0.23535
27-02-2024,0.269525,0.1632941176470588
27-12-2023,0.2958727272727273,0.25912799999999997
28-01-2024,0.3966375,0.2623855263157895
29-02-2024,0.027571428571428573,-0.059436781609195403
29-12-2023,0.338890243902439,0.08767837837837837
30-01-2024,0.31518918918918915,-0.06733999999999998
31-12-2023,0.44896,-0.048916981132075474
